id,meters,price,rooms,dealer,title,location,district
42eMA,61.30,321825,3,4tepiętro,Mieszkanie 3 pok. na Felinie!,"['Lublin', 'Felin']",Felin
42eHV,22.80,152000,1,BiuroNieruchomościKWADRAT,Kawalerka Śródmieście 23m2 w Lublinie,"['Lublin', 'Śródmieście']",Śródmieście
42eGX,49.87,284259,2,4tepiętro,Mieszkanie 2 pok. na Felinie!,"['Lublin', 'Felin']",Felin
42eGY,64.16,343256,3,4tepiętro,Mieszkanie 3 pok. na Felinie!,"['Lublin', 'Felin']",Felin
42eGb,49,382000,4,HERMESHOUSE,"4 pokoje do wprowadzenia, Czuby.","['Lublin', 'Czuby']",Czuby
42eEK,35,410000,2,ExpressHouse,Przytulne Mieszkanie,"['Lublin', 'Wieniawa']",Wieniawa
42eDe,45,220000,3,HERMESHOUSE,"Tatary, 3 pokoje.","['Lublin', 'Tatary']",Tatary
42eCG,40,120000,2,BiuroNieruchomościKWADRAT,40 m2 - 2 pokoje bezczynszowe + 20 m2 sutereny.,"['Lublin', 'Dziesiąta']",Dziesiąta
42etL,48,299000,2,LubelskieMieszkania,Zana 2 pokoje obok Politechniki,"['Lublin', 'LSM']",LSM
3V0Gv,84,697000,4,ExpressHouse,Luksusowy Apartament Z 3 Oddzielnymi Sypialniami-,"['Lublin', 'Czuby']",Czuby
40UkC,47.80,339000,2,ExpressHouse,Piękne Mieszkanie przy Wąwozie,"['Lublin', 'Czuby']",Czuby
3V2ZV,81,697000,3,ExpressHouse,Zamieszkaj Na 12 Piętrze Apartamentowca,"['Lublin', 'LSM']",LSM
3VDgE,92.25,489000,4,ExpressHouse,Duże mieszkanie obok Politechniki Lubelskiej,"['Lublin', 'LSM']",LSM
3TQO8,72,700000,3,ExpressHouse,Prestiżowa kamienica przy ul. Chopina,"['Lublin', 'Śródmieście']",Śródmieście
3JHGk,57,430000,5,ExpressHouse,5 pokoi na Czechowie: inwestujesz i zarabiasz,"['Czechów', 'Dolny']",Dolny
3PFxm,46,255000,3,ExpressHouse,***Okazja***3 Pokoje***Niski Blok***,"['Lublin', 'Kalinowszczyzna']",Kalinowszczyzna
3TQFy,54,500000,3,ExpressHouse,Mieszkanie w kamienicy przy ul. Chopina,"['Lublin', 'Śródmieście']",Śródmieście
3NYTu,49.36,340000,2,ExpressHouse,** Centrum**Dobra Inwestycja** Brak Podatku Pcc**,"['Lublin', 'Śródmieście']",Śródmieście
42eth,50.72,284032,2,4tepiętro,Mieszkanie 2 pok. na Felinie!,"['Lublin', 'Felin']",Felin
40OoX,67.76,372680,4,ŻagielDomSp.zo.o.,"Mieszkanie 4 pokoje, 67,76 m2, Lublin Węglin","['Lublin', 'Węglin']",Węglin
41AS6,59.17,388000,3,Arena,Nowe Budownictwo osiedle Ruczaj,"['Lublin', 'Botanik']",Botanik
42jlL,56,360900,2,LubelskieMieszkania,Wnętrza wykonane z wysokiej jakości materiałów.,"['Lublin', 'Wrotków']",Wrotków
41HCL,64,369900,3,Ofertaprywatna,Czuby ! 64 metry ! Gotowe jeszcze w 2019 roku !,"['Lublin', 'Czuby']",Czuby
41xce,63.43,329836,3,PółnocNieruchomościFranczyza,3 pokoje po remoncie.,"['Lublin', 'Bronowice']",Bronowice
425F3,70,395000,4,PółnocNieruchomościFranczyza,"4 pokoje na nowym, zielonym osiedlu","['Lublin', 'Wrotków']",Wrotków
41Nlo,53.10,331000,2,VISUMNIERUCHOMOŚCI,"Czechów 2 pokoje, blisko Um","['Lublin', 'Czechów']",Czechów
42owW,46.80,359000,2,Ofertaprywatna,"Centrum, 1 piętro, 47m2 + antresola, pod klucz","['Lublin', 'Centrum']",Centrum
42owD,50.04,269000,3,StrefaM,*trzy rozkładowe pokoje*dwa balkony*winda**,"['Lublin', 'Kalinowszczyzna']",Kalinowszczyzna
42owB,45.93,245000,2,StrefaM,**dwa pokoje*blisko do centrum*,"['Lublin', 'Kalinowszczyzna']",Kalinowszczyzna
42ouj,100,350000,5,BIGCITYBROKER,Mieszkanie 5-pokojowe na Czubach,"['Lublin', 'Czuby']",Czuby
40q4k,29.80,215000,2,Ofertaprywatna,2 pokoje na Bronowicach Dr. Męcz. Majdanka,"['Lublin', 'Bronowice']",Bronowice
41FSo,76.30,496000,3,,Mieszkanie pod lasem na os. Poręba,"['Lublin', 'Poręba']",Poręba
42ong,62.38,390000,3,OnestoBroker,"Mieszkanie 62,38m, 3 pokoje, ul. Narutowicza","['Lublin', 'Śródmieście']",Śródmieście
429ak,53.50,349000,2,,"Przestronne 2 pokojowe mieszkanie, Jutrzenki","['Lublin', 'Czuby']",Czuby
42olb,54.50,376000,2,HERMESHOUSE,"Węglin, 2 pokoje.","['Lublin', 'Czuby']",Czuby
42ol8,48,280000,2,HERMESHOUSE,"Czuby, 2 pokoje do własnej aranżacji.","['Lublin', 'Czuby']",Czuby
42beZ,33,239000,2,,"Lsm ! Mieszkanie po remoncie, do wejścia.","['Lublin', 'LSM']",LSM
42oi9,24,199000,1,RoyalNieruchomości,Lsm ! Kawalerka na sprzedaż !,"['Lublin', 'lubelskie']",lubelskie
41Syi,47.50,287000,3,,"Bardzo blisko Umcs, Up, Politechnika Lubelska !","['Lublin', 'LSM']",LSM
42nqX,48,345000,3,,Piękne mieszkanie na Czubach,"['Lublin', 'Czuby']",Czuby
41y5p,53.30,330000,3,Ofertaprywatna,Mieszkanie trzypokojowe BEZ POŚREDNIKÓW,"['Lublin', 'LSM']",LSM
40REF,125.50,1088000,5,Ofertaprywatna,Sprzedam apartament w Active Residence,"['Lublin', 'Centrum']",Centrum
41NKn,72,379000,4,,"72m2, 4 pokoje, 1-sze piętro, świetna lokalizacja!","['Lublin', 'Czuby']",Czuby
429Op,52.40,398000,2,Ofertaprywatna,"OKAZJA!!! Mieszkanie os. Wiśniowy Sad 52,40 mkw","['Lublin', 'Czuby']",Czuby
428Da,45.70,284000,3,,"Mieszkanie 45,7m2 3 pokoje Lublin LSM ul. Wileńska","['Lublin', 'LSM']",LSM
42o0R,60,375000,4,Ofertaprywatna,Mieszkanie na sprzedaż Lublin,"['Lublin', 'Wieniawa']",Wieniawa
41bnN,71.52,479000,3,,"Mieszkanie 71,5 m2, os. Botanik, do zamieszkania","['Lublin', 'Sławin']",Sławin
42mnz,59.90,369000,2,,"Mieszkanie, 59,90 m², Lublin","['Lublin', 'Czuby']",Czuby
42nV3,81,697000,4,BIGCITYBROKER,**Przestronne mieszkanie 4-pokojowe 81m2 Czuby***,"['Lublin', 'Czuby']",Czuby
42aWo,31.09,230000,1,ExpressHouse,Gustowne Mieszkanie,"['Lublin', 'Dziesiąta']",Dziesiąta
42831,20,189000,1,ExpressHouse,Zamieszkaj na najbardziej zielonym osiedlu,"['Lublin', 'LSM']",LSM
3Lisv,53.65,284345,3,ExpressHouse,"Mieszkanie, 53,65 m², Lublin","['Lublin', 'Felin']",Felin
3LisE,76.86,357399,4,ExpressHouse,"Mieszkanie, 76,86 m², Lublin","['Lublin', 'Felin']",Felin
3VJSE,93,599000,5,Ofertaprywatna,"Eleganckie 5 pokojowe, 93 m2 Słoneczny Wrotków","['Lublin', 'Wrotków']",Wrotków
41XqX,50,315000,3,HOME-TRADER,"3 oddzielne pokoje, Os. Skarpa, przy samym wąwozie","['Lublin', 'Czuby']",Czuby
41Umj,63,399000,3,4tepiętro,Ciche mieszkanie w bardzo dobrej lokalizacji,"['Lublin', 'Czuby']",Czuby
41YBl,50.08,Zapytajocenę,1,LUKsp.zo.o.SKA,Wieża Północna L35,"['Lublin', 'Czechów']",Czechów
41Yzb,33.56,Zapytajocenę,1,LUKsp.zo.o.SKA,Wieża Północna L34,"['Lublin', 'Czechów']",Czechów
41Yz4,46.10,Zapytajocenę,1,LUKsp.zo.o.SKA,Wieża Północna L33,"['Lublin', 'Czechów']",Czechów
41YyI,49.76,Zapytajocenę,2,LUKsp.zo.o.SKA,Wieża Północna 32,"['Lublin', 'Czechów']",Czechów
41Yyw,34.74,Zapytajocenę,2,LUKsp.zo.o.SKA,Wieża Północna 31,"['Lublin', 'Czechów']",Czechów
41Yvh,33.04,Zapytajocenę,2,LUKsp.zo.o.SKA,Wieża Północna 30,"['Lublin', 'Czechów']",Czechów
41Yv1,46.47,Zapytajocenę,2,LUKsp.zo.o.SKA,Wieża Północna 29,"['Lublin', 'Czechów']",Czechów
41YwI,50.08,Zapytajocenę,1,LUKsp.zo.o.SKA,Wieża Północna L28,"['Lublin', 'Czechów']",Czechów
41YwC,33.56,Zapytajocenę,1,LUKsp.zo.o.SKA,Wieża Północna L27,"['Lublin', 'Czechów']",Czechów
41Ywi,46.10,Zapytajocenę,1,LUKsp.zo.o.SKA,Wieża Północna L26,"['Lublin', 'Czechów']",Czechów
41YuC,49.76,Zapytajocenę,2,LUKsp.zo.o.SKA,Wieża Północna 25,"['Lublin', 'Czechów']",Czechów
41YuA,34.74,Zapytajocenę,2,LUKsp.zo.o.SKA,Wieża Północna 24,"['Lublin', 'Czechów']",Czechów
41Yux,33.04,Zapytajocenę,2,LUKsp.zo.o.SKA,Wieża Północna 23,"['Lublin', 'Czechów']",Czechów
41Yuo,46.47,Zapytajocenę,2,LUKsp.zo.o.SKA,Wieża Północna 22,"['Lublin', 'Czechów']",Czechów
41YrU,63.30,390000,3,AgencjaNieruchomościRolmex-PlusSp.zo.o.,"Mieszkanie, 63,30 m², Lublin","['Lublin', 'Centrum']",Centrum
41Yre,50.08,Zapytajocenę,1,LUKsp.zo.o.SKA,Wieża Północna L21,"['Lublin', 'Czechów']",Czechów
41Yr9,33.56,Zapytajocenę,1,LUKsp.zo.o.SKA,Wieża Północna L20,"['Lublin', 'Czechów']",Czechów
41YqI,46.10,Zapytajocenę,1,LUKsp.zo.o.SKA,Wieża Północna L19,"['Lublin', 'Czechów']",Czechów
41mAV,35,179000,2,GrupaOrzełNenckarski,"OKAZJA!!! Mieszkania 2 pokojowe, Samsonowicza 65","['Lublin', 'Wrotków']",Wrotków
41tIs,35,209000,2,GrupaOrzełNenckarski,"OKAZJA!!! Mieszkania 2 pokojowe, Samsonowicza 65","['Lublin', 'Wrotków']",Wrotków
41tII,35,239000,2,GrupaOrzełNenckarski,"OKAZJA!!! Mieszkania 2 pokojowe, Samsonowicza 65","['Lublin', 'Wrotków']",Wrotków
41YfG,98,595000,3,BiuroNieruchomościFACTOR,"Mieszkanie, 98 m², Lublin","['Lublin', 'lubelskie']",lubelskie
3D5rm,58.20,409000,2,BigCityInvestsp.zo.o,Zamieszkaj w sercu Lublina,"['Lublin', 'Śródmieście']",Śródmieście
3Abx5,58.20,409000,2,BigCityInvestsp.zo.o,Ostatni apartament w Centrum Lublina,"['Lublin', 'Śródmieście']",Śródmieście
41gNi,65,649000,3,BIGCITYBROKER,***Piękny Apartament w Centrum Lublina 65mkw***,"['Lublin', 'Wieniawa']",Wieniawa
3PS5V,58.10,389000,2,BIGCITYBROKER,"Przestronne, 58 Mkw, Ul. Bielskiego","['Lublin', 'Ponikwoda']",Ponikwoda
400Xm,53.70,349000,2,BIGCITYBROKER,Kamienica Śródmieście 54 mkw 1 piętro !!!,"['Lublin', 'Śródmieście']",Śródmieście
41Q01,58,333900,4,Ofertaprywatna,4 pokoje balkon piwnica CZECHÓW PARKING DARMOWY,"['Lublin', 'Czechów']",Czechów
3KWwu,66.40,385000,3,Ofertaprywatna,"3 pokoje, wspólny ogród, ogrodzenie BEZPOŚREDNIO !","['Lublin', 'Czuby']",Czuby
41nMo,49,314996,3,Ofertaprywatna,"Kalinowszczyzna, ul. Kustronia 12, do wejścia.","['Lublin', 'Kalinowszczyzna']",Kalinowszczyzna
41W7S,92.05,540000,4,3KLUCZEs.c.,Apartament Sławinek,"['Lublin', 'Sławinek']",Sławinek
41W7Q,81.08,490000,4,3KLUCZEs.c.,Apartament Sławinek,"['Lublin', 'Sławinek']",Sławinek
41W7P,92.05,540000,4,3KLUCZEs.c.,Apartament Sławinek,"['Lublin', 'Sławinek']",Sławinek
41W7M,94.04,550000,4,3KLUCZEs.c.,Apartament Sławinek,"['Lublin', 'Sławinek']",Sławinek
41W7N,81.08,490000,4,3KLUCZEs.c.,Apartament Sławinek,"['Lublin', 'Sławinek']",Sławinek
41W7K,88.91,520000,4,3KLUCZEs.c.,Apartament Sławinek,"['Lublin', 'Sławinek']",Sławinek
41W5Y,46,307000,3,HappyHome,Mieszkanie 3 pokojowe na Spadochroniarzy.,"['Lublin', 'Wieniawa']",Wieniawa
41UR8,49,370000,4,InvestorNieruchomościFranchise,"Super mieszkanie pod wynajem/ do zamieszkania, wys","['Lublin', 'Czuby']",Czuby
41Uph,68.50,389000,3,StrefaM,*3 pokoje*balkon*do wejścia*,"['Lublin', 'Czuby']",Czuby
41UoW,46.77,330000,3,BiuroNieruchomościKWADRAT,Mieszkanie 3 pok. po remoncie !!!,"['Lublin', 'Śródmieście']",Śródmieście
41INq,98.40,345000,4,MetrohouseLublin,OKAZJA_dom_mieszkanie_basen_cztery pokoje_ogród,"['Lublin', 'lubelskie']",lubelskie
41UjK,53.30,330000,3,BiuroNieruchomościKWADRAT,3 Oddzielne Pokoje Na Lsm!,"['Lublin', 'LSM']",LSM
41Ud2,94.04,550000,4,3KLUCZEs.c.,Apartament Sławinek,"['Lublin', 'Sławinek']",Sławinek
41Ud0,92.05,540000,4,3KLUCZEs.c.,Apartament Sławinek,"['Lublin', 'Sławinek']",Sławinek
41UcX,92.05,540000,4,3KLUCZEs.c.,Apartament Sławinek,"['Lublin', 'Sławinek']",Sławinek
41UcY,81.08,490000,4,3KLUCZEs.c.,Apartament Sławinek,"['Lublin', 'Sławinek']",Sławinek
41UcV,81.08,490000,4,3KLUCZEs.c.,Apartament Sławinek,"['Lublin', 'Sławinek']",Sławinek
41UcW,94.04,550000,4,3KLUCZEs.c.,Apartament Sławinek,"['Lublin', 'Sławinek']",Sławinek
41UcT,92.05,540000,4,3KLUCZEs.c.,Apartament Sławinek,"['Lublin', 'Sławinek']",Sławinek
41UcS,81.08,490000,4,3KLUCZEs.c.,Apartament Sławinek,"['Lublin', 'Sławinek']",Sławinek
41UcR,92.05,540000,4,3KLUCZEs.c.,Apartament Sławinek,"['Lublin', 'Sławinek']",Sławinek
41U8o,81,399000,4,WGNBiuroNieruchomościLublin,"Mieszkanie, 81 m², Lublin","['Lublin', 'Majdanek']",Majdanek
41U7p,46.10,299000,2,4tepiętro,"Czechów, Paderewskiego, 2 pokoje, 46m2, od zaraz!","['Lublin', 'Czechów']",Czechów
42qeI,49.50,319000,2,BiuroNieruchomościKWADRAT,Wyremontowane mieszkanie w rewelacyjnej lokalizacj,"['Lublin', 'Czuby']",Czuby
429GZ,29,193000,1,HOME-TRADER,"Mieszkanie 1 lub 2 pokoje, Lsm, 29 m2, inwestycja!","['Lublin', 'LSM']",LSM
3PaUY,35.87,215220,2,CLIVUSNieruchomości,Lublin Apartamenty okol. Centrum Okazja Ostatnie M,"['Lublin', 'Bronowice']",Bronowice
3PaUU,34.17,205020,2,CLIVUSNieruchomości,Lublin Apartamenty Okazja Blisko Centrum,"['Lublin', 'Bronowice']",Bronowice
3Pamk,55.60,374900,2,LubelskieMieszkania,Węglin. Do zamieszkania od zaraz. 2 Pokoje,"['Lublin', 'Węglinek']",Węglinek
3P7f2,35.87,215220,2,CLIVUSNieruchomości,Lublin Apartamenty okol. Centrum Okazja Ostatnie M,"['Lublin', 'Bronowice']",Bronowice
3P5tS,110,299000,3,PROTEKTNieruchomości,Mieszkanie 110 mkw ul. Wapowskiego - nowa zabudowa,"['Lublin', 'Wrotków']",Wrotków
3OVmM,45,304990,2,CLIVUSNieruchomości,"Lublin,Centrum","['Lublin', 'Centrum']",Centrum
3OMxq,60,250933,3,CLIVUSNieruchomości,Idealne mieszkania Czechów Okazja,"['Czechów', 'Górny']",Górny
3OK3u,75.30,375000,3,BiuroNieruchomościKWADRAT,"Mieszkanie 75m2, Os Niepodległości","['Lublin', 'Kalinowszczyzna']",Kalinowszczyzna
3OJDS,49.36,340000,2,3KLUCZEs.c.,Mieszkanie 2 pokoje w Centrum,"['Lublin', 'Centrum']",Centrum
3OH56,61,365000,3,CLIVUSNieruchomości,"Lublin,Centrum","['Lublin', 'Centrum']",Centrum
3OCti,81,449000,3,WMNieruchomości,Atrakcyjne mieszkanie przy Rogatce Warszawskiej!,"['Lublin', 'Sławinek']",Sławinek
3OB0Y,95.30,899000,3,BiuroNieruchomościKWADRAT,"***Prestiżowy 95,3 m2 apartament w ścisłym centrum","['Lublin', 'Śródmieście']",Śródmieście
3OjAk,35.87,215220,2,CLIVUSNieruchomości,Lublin Apartamenty okol. Centrum i Starego Miasta,"['Lublin', 'Kośminek']",Kośminek
3OjA0,47.15,278185,2,CLIVUSNieruchomości,Bardzo Blisko Centrum ! Idealne mieszkanie ! Okaz,"['Lublin', 'Kośminek']",Kośminek
3OjzS,47.15,292330,2,CLIVUSNieruchomości,Apartament w idealnej lokalizacji ! Okazja !,"['Lublin', 'Kośminek']",Kośminek
3OjzO,49.20,290280,3,CLIVUSNieruchomości,"Lublin Apartamenty tylko 1,5 km od Starego Miasta","['Lublin', 'Bronowice']",Bronowice
3OjzG,61.54,363086,3,CLIVUSNieruchomości,Lublin Apartamenty okol. Centrum i Starego Miasta,"['Lublin', 'Kośminek']",Kośminek
3OjzK,54.55,338210,3,CLIVUSNieruchomości,Lublin Apartamenty Blisko Centrum / Starego Miasta,"['Lublin', 'Kośminek']",Kośminek
3OjzC,61.54,381548,3,CLIVUSNieruchomości,Lublin Apartamenty okol. Kaufland M.Majdanka,"['Lublin', 'Kośminek']",Kośminek
3Ojzm,38.90,233400,2,CLIVUSNieruchomości,Lublin Apartamenty okol. Kaufland M.Majdanka,"['Lublin', 'Bronowice']",Bronowice
3Ojze,35.90,215400,2,CLIVUSNieruchomości,Lublin Apartamenty w okol. Centrum Lublina,"['Lublin', 'Kośminek']",Kośminek
3Ojzi,38.90,245070,2,CLIVUSNieruchomości,Lublin Apartamenty okol. Kaufland M.Majdanka,"['Lublin', 'Bronowice']",Bronowice
3OjyU,35.87,215220,2,CLIVUSNieruchomości,Lublin Apartamenty okol. Kaufland M.Majdanka,"['Lublin', 'Kośminek']",Kośminek
3OjyE,46.51,288362,3,CLIVUSNieruchomości,Lublin Apartamenty okol. Kaufland M.Majdanka,"['Lublin', 'Bronowice']",Bronowice
42fgz,48,259000,3,WłasnyKąt,Mieszkanie 3 Pokoje Okazyjna Cena !,"['Lublin', 'Kalinowszczyzna']",Kalinowszczyzna
413G4,77,436000,3,WłasnyKąt,Mieszkanie 77mkw Niski blok Czuby,"['Lublin', 'Czuby']",Czuby
41eys,70,420000,3,WłasnyKąt,Mieszkanie 70mkw 3 pokoje na Czubach,"['Lublin', 'Czuby']",Czuby
429uP,53.30,330000,3,WłasnyKąt,Lsm 3 oddzielne pokoje,"['Lublin', 'LSM']",LSM
41vnr,76,135000,3,Ofertaprywatna,Suuper Mieszkanie w TBS na os. BOTANIK,"['Lublin', 'Botanik']",Botanik
42bcp,62.80,317000,3,HomePartnerSp.zo.o.,Duże mieszkanie [Czuby] - widok z balkonu bezcenny,"['Lublin', 'Czuby']",Czuby
41TZL,68,369000,3,HERMESHOUSE,Trzy pokoje z pięknym widokiem na las,"['Lublin', 'Czuby']",Czuby
40PZW,48.21,288000,2,Lokum,2 lub 3 pokoje Racławickie/Głowackiego.Czynsz 189!,"['Lublin', 'Wieniawa']",Wieniawa
41GQs,53.80,338000,3,Lokum,Trzy rozkładowe pokoje. Lsm ul Wallenroda.,"['Lublin', 'LSM']",LSM
41TNb,36.36,211000,2,Arena,"2 pokoje Lublin Czuby, nowe budownictwo","['Lublin', 'Czuby']",Czuby
41THR,68,369000,3,InvestorNieruchomościFranchise,Super mieszkanie pod inwestycję w Lublinie na Czub,"['Lublin', 'Czuby']",Czuby
41TuH,51.60,329000,3,WGNBiuroNieruchomościLublin,"Mieszkanie, 51,60 m², Lublin","['Lublin', 'Poręba']",Poręba
41TuE,68.50,389000,3,WGNBiuroNieruchomościLublin,"Mieszkanie, 68,50 m², Lublin","['Lublin', 'Czuby']",Czuby
41TuB,68,369000,3,WGNBiuroNieruchomościLublin,"Mieszkanie, 68 m², Lublin","['Lublin', 'Czuby']",Czuby
41Tr8,68.50,390000,3,Login-HouseNieruchomości,"Mieszkanie, 68,50 m², Lublin","['Lublin', 'Czuby']",Czuby
41TqV,50.04,277000,3,4tepiętro,"Kalinowszczyzna, 3 pokoje, 50m2, 2 balkony!","['Lublin', 'Kalinowszczyzna']",Kalinowszczyzna
41TpU,59.96,298000,3,HomeBrokerS.A.,"Mieszkanie, 59,96 m², Lublin","['Lublin', 'Wrotków']",Wrotków
41Tom,58,300000,3,SzymanekNieruchomościSp.zo.o.,"Mieszkanie, Sprzedaż, 3 Pokoje, Inwestycyjne","['Lublin', 'lubelskie']",lubelskie
41T9U,47,319000,3,StrefaM,**2 piętro*dwustronne*balkon*od zaraz**,"['Lublin', 'Wrotków']",Wrotków
41T6P,49.74,329000,2,4tepiętro,"os. Botanik, gotowe, miejsce parkingowe!","['Lublin', 'Botanik']",Botanik
41T5F,68,359000,3,LubelskieMieszkania,"Czuby - Poręba, 68m2, 3 pokoje, -Do Negocjacji !","['Lublin', 'Czuby']",Czuby
41T43,85,438000,5,BESTHOUSENieruchomości,5 - pokojowe Bazylianówka,"['Lublin', 'Bazylianówka']",Bazylianówka
41lpj,49.18,250000,2,MetrohouseLublin,*2 pokoje w niskim bloku na Lotniczej*,"['Lublin', 'Bronowice']",Bronowice
41SUF,36,234900,2,LubelskieMieszkania,"Centrum --Kompletnie umeblowane, do wprowadzenia.","['Lublin', 'Śródmieście']",Śródmieście
41SLz,43.79,253982,2,K&MEstates,Inwestycja* Czechów* Koncertowa,"['Lublin', 'Czechów']",Czechów
41SDT,74.50,449000,3,FRANCZEWSKANieruchomościs.c.,3 pokoje Czuby Błonie,"['Lublin', 'lubelskie']",lubelskie
41Szp,66.80,285000,3,CapitalFinanseiNieruchomościKarolinaLato,"3 pokoje, Felin , garaż w cenie, odrębna własność","['Lublin', 'Felin']",Felin
41Szm,55,337000,3,BIGCITYBROKER,"3 niezależne pokoje na os. Słowackiego, 337 tys.","['Lublin', 'LSM']",LSM
41Sy4,124.39,618000,4,VISUMNIERUCHOMOŚCI,"Mieszkanie sprzedaż, ul. Żołnierska, dwa poziomy.","['Lublin', 'Sławinek']",Sławinek
41c7A,58,342000,3,BESTHOUSENieruchomości,"Mieszkanie, 58 m², Lublin","['Lublin', 'lubelskie']",lubelskie
41Yct,87.43,360000,3,4tepiętro,"Okazja! 100m2 po podłodze, 4117zł/m2, Czuby","['Lublin', 'Czuby']",Czuby
